,Na,NH4,Rb,K,Mg,Ca,Sample
EFFLUX-33,6.4688,0.3026,0.0808,0.6221,1.245,0.3604,1
EFFLUX-34,40.5698,1.5762,0.1505,2.5123,6.5709,1.4732,2
EFFLUX-35,46.9742,1.7731,0.1731,2.9888,7.9498,2.1507,3
EFFLUX-36,49.2865,2.3814,0.1901,3.3972,8.4921,2.3185,4
EFFLUX-37,1.0802,0.2256,,0.2431,0.5077,0.0142,5
EFFLUX-38,24.393,0.7876,,1.8555,4.1562,1.0815,6
EFFLUX-39,27.3997,0.8719,0.0717,1.8191,4.85,1.2475,7
EFFLUX-40,28.0742,1.0214,,1.8755,4.8305,1.3763,8
EFFLUX-41,3.742,0.2649,,0.4621,1.1674,0.5925,9
EFFLUX-42,158.5877,2.1472,0.3347,6.1542,29.2528,8.9421,10
EFFLUX-43,60.1769,2.2171,0.1684,3.2694,10.7316,2.2824,11
EFFLUX-44,62.0774,2.6341,0.1552,3.4852,10.979,7.6228,12
EFFLUX-45,0.3815,0.2234,,0.2265,1.0328,0.7736,13
EFFLUX-46,64.343,0.9614,0.1871,2.8452,12.0276,2.1282,14
EFFLUX-47,68.9125,2.0249,0.1965,3.3719,12.5465,2.8199,15
EFFLUX-48,67.5909,2.2782,0.2106,4.4598,12.3108,2.8523,16
EFFLUX-49,22.0385,0.8334,,1.5041,4.4446,0.8531,17
EFFLUX-50,23.5297,1.5289,,2.3887,4.0356,1.3023,18
EFFLUX-51,41.7946,2.9384,0.1197,3.7127,9.2215,1.9479,19
EFFLUX-52,58.896,4.2157,0.1815,4.6585,13.0565,3.5956,20
EFFLUX-53,4.5265,0.6215,,0.6607,2.2743,2.0981,21
EFFLUX-54,46.8985,8.9744,,4.8063,9.7607,2.3141,22
EFFLUX-55,54.5475,14.6784,0.1433,6.1622,11.205,2.9725,23
EFFLUX-56,64.4179,17.6347,0.1666,7.7038,13.485,4.2254,24
EFFLUX-57,0.5253,0.2906,,0.2862,0.668,0.3265,25
EFFLUX-58,31.8155,1.3205,,2.5805,5.3704,1.0312,26
EFFLUX-59,55.6954,3.4752,0.1095,4.4726,8.5001,1.8231,27
EFFLUX-60,75.1991,5.5522,,6.3888,10.1566,2.3781,28
EFFLUX-61,1.7775,0.2515,,0.3862,0.8554,0.3,29
EFFLUX-62,47.6799,1.3498,0.0995,3.0441,8.633,1.6908,30
EFFLUX-63,77.5358,19.9764,0.1796,6.1949,14.7894,3.9832,31
EFFLUX-64,68.8352,9.7804,0.1511,5.301,11.5593,3.0387,32
