Sample,Li,Na,NH4,Rb,K,Mg,Ca
A-1,,5.043,0.3072,,0.4806,0.4454,0.405
A-2,,55.7754,2.1749,,2.9849,4.3789,3.0026
A-3,,60.7526,2.6803,,3.5617,4.7584,2.3873
A-4,,67.8025,3.102,,3.9681,5.4706,4.699
A-5,,2.4845,0.226,,0.3325,0.7043,0.595
A-6,,77.7635,13.146,,3.6427,6.2106,2.7599
A-7,,109.3958,14.7054,,4.9081,9.341,3.8155
A-8,,149.2074,18.5489,,6.5643,11.3992,6.7492
A-9,,125.2578,0.8837,,3.6471,16.8456,3.4057
A-10,,273.0133,1.8923,,9.4432,35.8833,6.3054
A-11,,265.5577,2.221,,9.0355,34.3481,7.9629
A-12,,317.475,2.8391,,11.0541,40.6383,9.7036
A-13,,60.5134,0.6412,,2.2469,9.8256,2.3239
A-14,,160.294,2.7237,,7.3089,22.9146,5.6759
A-15,,177.2889,3.3256,,8.0682,24.6776,6.1846
A-16,,183.1006,3.3048,,7.9533,25.057,6.6543
A-17,,68523.4431,110062.3009,858.4453,4851.3575,5285.4596,3875.1068
A-18,,2340.7903,4.5068,2.0919,95.7778,184.8454,117.6996
A-19,,3.0928,0.2918,,0.4954,0.2087,0.2515
A-20,,4101.4028,7883.6275,52.7936,8598.1969,7381.6378,4196.4248
A-21,,2419.8076,5.2619,139.2856,53.0275,206.466,74.074
B-1,,245.9159,1.8739,,7.2093,17.99,14.6484
B-2,,94.0315,3.7092,,3.2721,8.9593,10.2104
B-3,,53.7822,5.0669,,2.3378,6.5907,9.2902
B-4,,41.3067,8.211,,2.3541,5.6662,9.5357
B-5,,51.4995,0.6285,,1.8208,7.7622,7.9242
B-6,,55.8618,2.9005,,2.2994,8.3649,9.0695
B-7,,55.5312,3.1807,,2.2558,7.988,9.1929
B-8,,64.6669,4.3569,,2.8857,9.0309,10.6925
B-9,,308.0206,1.6592,,6.716,32.1547,11.3703
B-10,,321.092,2.3276,,7.6085,33.6063,11.9964
B-11,,338.2914,3.1199,,9.1927,33.6295,13.3436
B-12,,350.9756,4.0743,,9.6499,31.5908,13.0275
B-13,0.4025,1675.2608,6.6387,,55.2574,272.925,16.1672
B-14,0.4038,1689.7045,6.7838,,57.7218,209.766,17.4518
B-15,0.4029,1698.181,7.4626,,59.2442,273.5237,18.226
B-16,0.4097,1714.6993,7.7725,,59.933,275.5358,18.5645
B-17,0.3125,3296.6017,30.4227,3.4125,75.1932,186.4542,101.1082
B-18,0.2869,3921.2292,15.4279,1.5971,83.9764,175.5404,112.7491
B-19,0.5379,4170.0547,66.0729,4.6393,102.0861,164.4128,114.6235
B-20,0.5254,4215.0305,17.5067,2.1027,88.4103,196.9912,96.5252
B-21,,467.7653,1.9761,0.6795,1.3239,51.4213,9.2875
C-1,,7.8494,0.1835,,0.5848,1.1769,2.5718
C-2,,32.5775,2.5742,,1.8947,2.9826,1.4384
C-3,,40.6583,3.4742,,2.8917,3.1392,1.8511
C-4,,45.9479,4.3186,,3.269,4.3408,2.4747
C-5,,0.7286,0.0913,,0.1245,0.5691,0.475
C-6,,18.9504,0.9271,,1.1969,2.2493,1.6287
C-7,,32.5146,1.7564,,2.072,3.7387,2.8499
C-8,,45.6337,3.1339,,3.1607,3.4872,2.758
C-9,,1.9086,0.1364,,0.3036,0.743,0.7572
C-10,,39.4908,2.2058,,2.1699,3.9844,1.8946
C-11,,42.4535,2.6594,,2.5681,4.3025,2.0548
C-12,,59.63,4.2097,,3.7484,5.4429,2.919
C-13,,0.6687,0.105,,0.1785,0.4229,0.548
C-14,,44.8324,6.7999,,2.3225,3.492,1.5571
C-15,,68.4152,9.6915,,4.4528,5.7446,2.2133
C-16,,61.8187,11.8821,,3.7466,5.0437,2.4059
C-17,0.2527,4059.3627,39.8074,5.1867,119.3061,125.9927,107.5558
C-18,0.2594,3818.018,67.9038,4.0568,104.7796,99.7141,100.1519
C-19,0.5251,4450.4958,14.8432,2.2957,104.5774,296.2936,84.5045
C-20,0.4661,3678.878,21.6779,1.3984,83.5993,209.648,72.8616
C-21,,798.8337,2.7923,47.1809,1.34,54.8905,16.3699
D-1,,11.9769,0.4248,0.0835,0.6345,2.2257,1.3917
D-2,,24.4131,2.7232,,1.4947,3.2885,1.9781
D-3,,49.1844,5.9977,,3.1927,5.0843,3.1464
D-4,,69.7941,8.2626,0.078,4.6599,6.9758,4.9117
D-5,,2.6917,0.1864,,0.2231,0.4939,0.5762
D-6,,9.0671,0.9434,,0.758,1.0014,0.7751
D-7,,18.5193,1.5434,,1.2378,1.5331,1.1555
D-8,,27.9533,2.0593,,2.2574,2.0957,2.0649
D-9,,1.7142,0.1891,,0.3529,1.317,1.2985
D-10,,22.5686,0.878,,1.8482,2.5298,1.8243
D-11,,25.1777,0.9549,,2.0606,2.9758,2.0208
D-12,,72.397,8.4832,,5.091,8.0647,5.6497
D-13,,1.9724,0.21,,0.3396,2.5053,1.333
D-14,,9.1634,0.4797,,1.1199,2.8107,1.6755
D-15,,16.6024,0.805,,1.7802,3.5659,2.5808
D-16,,18.1223,0.8324,,1.7327,6.1713,3.5183
D-17,0.2588,1421.1007,64.0059,6.7845,62.2949,93.7822,82.7403
D-18,0.2592,3144.2882,22.8775,3.1698,83.0331,87.3807,72.2168
D-19,0.3619,2524.4591,15.5434,1.616,54.9424,157.2665,85.817
D-20,0.4224,3255.9597,110.7681,2.2867,135.7066,240.3988,103.5498
D-21,,1356.3176,4.9201,53.8363,1.6291,154.79,29.1127
E-1,,6.3751,0.7298,0.095,0.4535,0.9291,0.6411
E-2,,18.5934,1.3806,,0.6959,1.1353,
E-3,,11.0183,1.1539,,0.5889,0.6205,0.3511
E-4,,14.7212,1.6211,,0.7863,0.7527,0.4468
E-5,,4.1132,0.2255,,0.3643,0.8719,0.763
E-6,,1.2231,0.1047,,0.1235,0.1304,
E-7,,17.099,1.2826,,0.8422,0.9887,0.5999
E-8,,23.5689,2.2378,,1.1333,0.9247,0.606
E-9,,1.1794,0.2102,,0.2009,0.6359,0.6401
E-10,,156.818,5.3959,,7.3922,15.6379,4.6086
E-11,,189.2024,9.2646,,9.5994,22.9696,5.8263
E-12,,42.8048,1.7426,,1.8655,4.1623,1.2857
E-13,,2.9311,0.2099,,0.4029,0.6829,0.6047
E-14,,176.168,1.6815,,6.2444,20.6605,5.9139
E-15,,115.3395,3.175,,5.0761,11.4902,3.9975
