Initials,Hand,A,B,C,D,thickness,merus,E,F,mass
AFMF,R,20.6,20,9,13.4,6.8,8.9,11.5,15.5,2.47
AFMF,R,26.5,18.4,10.1,13,6.1,8.9,12.3,17.1,2.56
AFMF,R,24.1,17.4,9.6,11.2,6.1,9.1,11.5,16.5,2.55
AFMF,L,24.6,17.2,8.2,11.8,5.7,8.2,10.8,15.3,2.03
AFMF,L,25.6,16.6,8.7,12.3,6.6,10.1,11.2,15.9,2.27
AFMF,R,19.2,11.8,6.8,8.2,4.6,6.9,9.7,13.3,1.32
AFMF,L,23.4,14.7,8,14,5.4,8.7,10.5,15.4,1.85
AFMF,R,20.9,14.7,7.6,11,5.1,9.6,10.9,15.3,1.9
AFMF,R,20.8,14.5,7.7,9.9,5,8.5,11.4,15.9,1.99
SLRS,R,24.8,15.6,9,15.6,5.9,6.6,12.9,17.4,2.214
SLRS,R,25.9,16,9.4,14.5,5.5,7.8,11.9,16.5,2
SLRS,L,25.8,18.4,10.2,14.2,6.4,10.3,12.9,17.6,2.665
SLRS,R,24.2,17.2,9.3,12.8,5.1,7.5,10.9,16.3,2
SLRS,L,22.4,15,10.4,11.5,5.4,9.1,11.5,16.8,2.293
SLRS,R,18.6,13.5,7.4,10.2,4.4,6.5,10.2,15.3,1.484
CABC,R,27.8,20.07,10.07,10.6,6.7,10.19,10.35,10.82,3.1
CABC,L,24,20.01,9.01,13.5,5.6,8.8,13.1,17,2.332
CABC,L,25.3,18.5,9,12.8,6,9,12.5,15.8,2.353
CABC,R,22.4,14.9,8.1,12.6,4.7,9.2,10.1,15.6,1.831
CABC,R,25.2,17.4,10,12.7,6.8,9.5,12.8,16.2,2.465
CABC,L,20.8,14.6,8,10,5.6,9.8,11.5,14.8,1.688
KLCS,R,26.1,18.6,10.5,15.4,5.4,11.7,12.1,21,2.564
KLCS,,28.5,19.2,10.1,14.9,6.2,12,11.9,18.2,2.5
KLCS,,30.4,23.6,11.1,19.1,6,14.5,12.7,19,3.141
KLCS,L,25.8,14.6,9.3,17.1,5.9,13.4,11.6,16.7,2.353
KLCS,L,26.8,19.8,9.8,15,6,12.2,11.4,16.7,2.277
KLCS,L,24.4,16.9,9.6,11.7,5.4,12.7,12.8,16.9,2.327
KLCS,L,17.6,12.7,7.6,9.5,4,9.5,9.7,13.6,1.235
APAT,L,25.2,16.9,10,15.3,5.9,9.2,12,16.9,2.54
APAT,R,25.5,16.9,10.2,12.5,6.2,8.6,12.1,14.4,2.14
APAT,R,17.7,11.8,8.1,7,4.5,6.8,10.9,15,1.54
APAT,R,25.1,13.7,11.1,9,6,9.1,11.8,16,2.48
APAT,L,24.7,16.8,9,13.7,8.1,8,12,16.1,1.99
APAT,R,20.2,13.2,7.7,10,4.9,6.6,9.9,13.9,1.36
APAT,L,18.9,12.2,7.1,9.6,4.1,8.8,10,14.1,1.28
APAT,L,19.8,13.5,8.2,12.5,5.4,8.4,10.9,15.6,1.7
APAT,L,24.7,16.8,9.9,11.6,6.7,9.6,12,16.6,2.32
APAT,L,13,8.5,5,8.6,2.9,7.5,11,16.1,1.41
APAT,R,23.4,15.9,8.5,13,4.7,7.4,10.9,15.6,1.82
JLDA,L,24,13.8,8.2,10.3,4.8,8.6,10.2,14.5,1.55
JLDA,R,23.3,16.2,8.5,10.9,5,10.8,11.9,15.9,1.98
JLDA,L,26.1,17.3,9.1,14.2,5.7,11.5,12.4,17.7,2.56
JLDA,L,18.3,11,6.4,8.6,4.3,8.8,10.8,14.4,1.48
JLDA,L,28.7,18.7,8.7,13.3,5.7,10.4,12.1,16.5,2.36
JLDA,R,25.3,17.5,9.1,11.9,5.8,11.6,12.5,16.1,2.08
