Group,Species,Code,Sex,Mass,Salinity,Time,Osmolarity
A,U,1,M,1.95,20,C,479
A,U,2,M,2.31,20,C,856
A,U,3,F,1.17,100,C,904
A,U,4,M,1.91,100,C,996
A,U,5,M,1.82,20,A,890
A,U,6,M,1.8,20,A,880
A,U,7,M,1.64,100,A,882
A,U,8,M,1.73,100,A,868
B,U,1,M,2.71,20,C,879
B,U,2,F,1.24,20,C,827
B,U,3,M,2.32,100,C,941
B,U,4,M,1.3,100,C,922
B,U,5,M,2.53,20,A,902
B,U,6,F,1.49,20,A,862
B,U,7,M,2.16,100,A,939
B,U,8,F,1.27,100,A,876
C,U,1,F,2.413,20,C,644
C,U,2,M,1.63,20,C,892
C,U,3,M,2.677,100,C,897
C,U,4,M,2.718,100,C,802
C,U,5,M,1.97,20,A,905
C,U,6,F,1.16,20,A,898
C,U,7,M,,100,A,900
C,U,8,F,,100,A,872
D,U,1,F,2.092,20,C,536
D,U,2,M,2.472,20,C,483
D,U,3,F,1.43,100,C,903
D,U,4,F,1.937,100,C,914
D,U,5,F,1.527,20,A,891
D,U,6,F,1.472,20,A,879
D,U,7,F,1.856,100,A,899
D,U,8,M,3.177,100,A,914
