Year,Species,Sex,Salinity,Time,Mass
2016,Uca,,1500,0,1.25
2016,Uca,,1500,10,1.21
2016,Uca,,1500,20,1.21
2016,Uca,,1500,30,1.26
2016,Uca,,1500,0,2.72
2016,Uca,,1500,10,2.68
2016,Uca,,1500,20,2.68
2016,Uca,,1500,30,2.71
2016,Uca,,1000,0,1.8
2016,Uca,,1000,10,1.76
2016,Uca,,1000,20,1.8
2016,Uca,,1000,30,1.79
2016,Uca,,1000,0,1.83
2016,Uca,,1000,10,1.79
2016,Uca,,1000,20,1.84
2016,Uca,,1000,30,1.79
2016,Uca,,500,0,1.59
2016,Uca,,500,10,1.61
2016,Uca,,500,20,1.68
2016,Uca,,500,30,1.59
2016,Uca,,500,0,1.63
2016,Uca,,500,10,1.62
2016,Uca,,500,20,1.65
2016,Uca,,500,30,1.64
2016,Nereis,,1500,0,5.9
2016,Nereis,,1500,10,5.56
2016,Nereis,,1500,20,5.52
2016,Nereis,,1500,30,5.61
2016,Nereis,,1500,0,9
2016,Nereis,,1500,10,9.26
2016,Nereis,,1500,20,9.09
2016,Nereis,,1500,30,8.87
2016,Nereis,,1000,0,5.3
2016,Nereis,,1000,10,5.35
2016,Nereis,,1000,20,5.54
2016,Nereis,,1000,30,5.44
2016,Nereis,,1000,0,3.09
2016,Nereis,,1000,10,3.18
2016,Nereis,,1000,20,2.98
2016,Nereis,,1000,30,2.91
2016,Nereis,,500,0,7.09
2016,Nereis,,500,10,6.63
2016,Nereis,,500,20,6.21
2016,Nereis,,500,30,5.89
2016,Nereis,,500,0,4.83
2016,Nereis,,500,10,4.86
2016,Nereis,,500,20,4.85
2016,Nereis,,500,30,4.51
2016,Uca,,1500,0,2.45
2016,Uca,,1500,10,2.53
2016,Uca,,1500,20,2.48
2016,Uca,,1500,30,2.5
2016,Uca,,1500,0,1.22
2016,Uca,,1500,10,1.21
2016,Uca,,1500,20,1.23
2016,Uca,,1500,30,1.23
2016,Uca,,1000,0,2.18
2016,Uca,,1000,10,2.12
2016,Uca,,1000,20,2.12
2016,Uca,,1000,30,2.13
2016,Uca,,1000,0,1.38
2016,Uca,,1000,10,1.32
2016,Uca,,1000,20,1.311
2016,Uca,,1000,30,1.31
2016,Uca,,500,0,2.31
2016,Uca,,500,10,2.247
2016,Uca,,500,20,2.22
2016,Uca,,500,30,2.202
2016,Uca,,500,0,1.477
2016,Uca,,500,10,1.396
2016,Uca,,500,20,1.43
2016,Uca,,500,30,1.402
2016,Nereis,,1500,0,6.6
2016,Nereis,,1500,10,6.94
2016,Nereis,,1500,20,7.02
2016,Nereis,,1500,30,6.253
2016,Nereis,,1500,0,4.29
2016,Nereis,,1500,10,4.05
2016,Nereis,,1500,20,3.92
2016,Nereis,,1500,30,3.704
2016,Nereis,,1000,0,1.968
2016,Nereis,,1000,10,1.96
2016,Nereis,,1000,20,2
2016,Nereis,,1000,30,2.042
2016,Nereis,,1000,0,5.508
2016,Nereis,,1000,10,5.29
2016,Nereis,,1000,20,5.211
2016,Nereis,,1000,30,5.01
2016,Nereis,,500,0,5.06
2016,Nereis,,500,10,5.387
2016,Nereis,,500,20,5.51
2016,Nereis,,500,30,5.717
2016,Nereis,,500,0,2.809
2016,Nereis,,500,10,2.991
2016,Nereis,,500,20,3.126
2016,Nereis,,500,30,3.202
2016,Uca,,1500,0,2.27
2016,Uca,,1500,10,2.24
2016,Uca,,1500,20,2.23
2016,Uca,,1500,30,2.21
2016,Uca,,1500,0,2.32
2016,Uca,,1500,10,2.32
2016,Uca,,1500,20,2.29
2016,Uca,,1500,30,2.26
2016,Uca,,1000,0,1.49
2016,Uca,,1000,10,1.45
2016,Uca,,1000,20,1.45
2016,Uca,,1000,30,1.49
2016,Uca,,1000,0,2.97
2016,Uca,,1000,10,2.91
2016,Uca,,1000,20,2.91
2016,Uca,,1000,30,2.98
2016,Uca,,500,0,2.02
2016,Uca,,500,10,2.07
2016,Uca,,500,20,2.07
2016,Uca,,500,30,2.18
2016,Uca,,500,0,2.62
2016,Uca,,500,10,2.54
2016,Uca,,500,20,2.46
2016,Uca,,500,30,2.57
2016,Nereis,,1500,0,4.25
2016,Nereis,,1500,10,4.08
2016,Nereis,,1500,20,3.95
2016,Nereis,,1500,30,3.61
2016,Nereis,,1500,0,4.11
2016,Nereis,,1500,10,3.56
2016,Nereis,,1500,20,3.89
2016,Nereis,,1500,30,3.48
2016,Nereis,,1000,0,6.5
2016,Nereis,,1000,10,6.23
2016,Nereis,,1000,20,6.35
2016,Nereis,,1000,30,6.24
2016,Nereis,,1000,0,4.2
2016,Nereis,,1000,10,4.13
2016,Nereis,,1000,20,4.13
2016,Nereis,,1000,30,4.23
2016,Nereis,,500,0,2.86
2016,Nereis,,500,10,2.93
2016,Nereis,,500,20,3.03
2016,Nereis,,500,30,3.12
2016,Nereis,,500,0,4.54
2016,Nereis,,500,10,4.54
2016,Nereis,,500,20,4.73
2016,Nereis,,500,30,5.1
2016,Uca,,1500,0,2.73
2016,Uca,,1500,10,2.7
2016,Uca,,1500,20,2.73
2016,Uca,,1500,30,2.75
2016,Uca,,1500,0,1.7
2016,Uca,,1500,10,1.7
2016,Uca,,1500,20,1.72
2016,Uca,,1500,30,1.73
2016,Uca,,1000,0,1.86
2016,Uca,,1000,10,1.92
2016,Uca,,1000,20,1.94
2016,Uca,,1000,30,1.86
2016,Uca,,1000,0,1.47
2016,Uca,,1000,10,1.49
2016,Uca,,1000,20,1.5
2016,Uca,,1000,30,1.51
2016,Uca,,500,0,4.1
2016,Uca,,500,10,4.13
2016,Uca,,500,20,4.15
2016,Uca,,500,30,4.09
2016,Uca,,500,0,2.01
2016,Uca,,500,10,2.07
2016,Uca,,500,20,2.03
2016,Uca,,500,30,2
2016,Nereis,,1500,0,4.59
2016,Nereis,,1500,10,4.31
2016,Nereis,,1500,20,4.19
2016,Nereis,,1500,30,4.15
2016,Nereis,,1500,0,4.51
2016,Nereis,,1500,10,4.2
2016,Nereis,,1500,20,4.01
2016,Nereis,,1500,30,3.85
2016,Nereis,,1000,0,6.46
2016,Nereis,,1000,10,6.54
2016,Nereis,,1000,20,6.71
2016,Nereis,,1000,30,6.59
2016,Nereis,,1000,0,5.51
2016,Nereis,,1000,10,5.55
2016,Nereis,,1000,20,5.75
2016,Nereis,,1000,30,5.64
2016,Nereis,,500,0,2.16
2016,Nereis,,500,10,2.32
2016,Nereis,,500,20,2.37
2016,Nereis,,500,30,2.41
2016,Nereis,,500,0,2.89
2016,Nereis,,500,10,2.92
2016,Nereis,,500,20,3
2016,Nereis,,500,30,3.08
2016,Uca,,1500,0,2.46
2016,Uca,,1500,10,2.504
2016,Uca,,1500,20,2.51
2016,Uca,,1500,30,2.49
2016,Uca,,1500,0,1.44
2016,Uca,,1500,10,1.472
2016,Uca,,1500,20,1.48
2016,Uca,,1500,30,1.461
2016,Uca,,1000,0,2.82
2016,Uca,,1000,10,2.722
2016,Uca,,1000,20,2.72
2016,Uca,,1000,30,2.733
2016,Uca,,1000,0,1.23
2016,Uca,,1000,10,1.25
2016,Uca,,1000,20,1.21
2016,Uca,,1000,30,1.221
2016,Uca,,500,0,3.124
2016,Uca,,500,10,3.03
2016,Uca,,500,20,3.14
2016,Uca,,500,30,3.067
2016,Uca,,500,0,1.754
2016,Uca,,500,10,1.793
2016,Uca,,500,20,1.82
2016,Uca,,500,30,1.766
2016,Nereis,,1500,0,3.32
2016,Nereis,,1500,10,3.13
2016,Nereis,,1500,20,2.72
2016,Nereis,,1500,30,2.5
2016,Nereis,,1500,0,2.86
2016,Nereis,,1500,10,2.66
2016,Nereis,,1500,20,2.523
2016,Nereis,,1500,30,2.384
2016,Nereis,,1000,0,5.33
2016,Nereis,,1000,10,4.32
2016,Nereis,,1000,20,4.32
2016,Nereis,,1000,30,4.29
2016,Nereis,,1000,0,5.75
2016,Nereis,,1000,10,5.71
2016,Nereis,,1000,20,5.7
2016,Nereis,,1000,30,5.47
2016,Nereis,,500,0,3.87
2016,Nereis,,500,10,3.897
2016,Nereis,,500,20,4.03
2016,Nereis,,500,30,4.15
2016,Nereis,,500,0,7.192
2016,Nereis,,500,10,7.896
2016,Nereis,,500,20,7.42
2016,Nereis,,500,30,7.4
2016,Uca,,1500,0,2.95
2016,Uca,,1500,10,2.92
2016,Uca,,1500,20,2.89
2016,Uca,,1500,30,2.88
2016,Uca,,1500,0,2.11
2016,Uca,,1500,10,2.14
2016,Uca,,1500,20,2.08
2016,Uca,,1500,30,2.14
2016,Uca,,1000,0,3.36
2016,Uca,,1000,10,3.35
2016,Uca,,1000,20,3.28
2016,Uca,,1000,30,3.33
2016,Uca,,1000,0,1.8
2016,Uca,,1000,10,1.82
2016,Uca,,1000,20,1.8
2016,Uca,,1000,30,1.81
2016,Uca,,500,0,3.03
2016,Uca,,500,10,3.18
2016,Uca,,500,20,3.07
2016,Uca,,500,30,3.08
2016,Uca,,500,0,1.55
2016,Uca,,500,10,1.59
2016,Uca,,500,20,1.58
2016,Uca,,500,30,1.55
2016,Nereis,,1500,0,4.45
2016,Nereis,,1500,10,3.94
2016,Nereis,,1500,20,3.86
2016,Nereis,,1500,30,3.75
2016,Nereis,,1500,0,7.1
2016,Nereis,,1500,10,6.6
2016,Nereis,,1500,20,5.75
2016,Nereis,,1500,30,5.26
2016,Nereis,,1000,0,3.13
2016,Nereis,,1000,10,3.05
2016,Nereis,,1000,20,2.97
2016,Nereis,,1000,30,2.94
2016,Nereis,,1000,0,6.27
2016,Nereis,,1000,10,6.22
2016,Nereis,,1000,20,6.07
2016,Nereis,,1000,30,5.98
2016,Nereis,,500,0,3.25
2016,Nereis,,500,10,3.33
2016,Nereis,,500,20,3.33
2016,Nereis,,500,30,3.22
2016,Nereis,,500,0,6.6
2016,Nereis,,500,10,6.43
2016,Nereis,,500,20,6.34
2016,Nereis,,500,30,6.27
2018,Nereis,U,500,0,4.19
2018,Nereis,U,500,10,5.38
2018,Nereis,U,500,20,5.63
2018,Nereis,U,500,30,
2018,Nereis,U,1000,0,3.04
2018,Nereis,U,1000,10,3.06
2018,Nereis,U,1000,20,3.06
2018,Nereis,U,1000,30,3.05
2018,Nereis,U,1500,0,5.3
2018,Nereis,U,1500,10,3.75
2018,Nereis,U,1500,20,3.18
2018,Nereis,U,1500,30,3.05
2018,Uca,M,500,0,2.21
2018,Uca,M,500,10,2.24
