team,SW,BW,slopeRb_(uM/min),Rb
A,20,1.72,858.4453,45.78374933
A,20,1.59,2.0919,0.111568
A,100,1.57,,
A,100,1.35,52.7936,2.815658667
B,20,2.32,3.4125,0.182
B,20,2.26,1.5971,0.08517866667
B,100,1.92,4.6393,0.2474293333
B,100,1.47,2.1027,0.112144
C,20,2.53,5.1867,0.276624
C,20,1.23,4.0568,0.2163626667
C,100,1.83,2.2957,0.1224373333
C,100,1.7,1.3984,0.07458133333
D,20,1.71,6.7845,0.36184
D,20,1.17,3.1698,0.169056
D,100,1.37,1.616,0.08618666667
D,100,1.24,2.2867,0.1219573333
E,20,2.07,2.8925,0.1542666667
E,20,1.63,4.825,0.2573333333
E,100,3.17,2.1216,0.113152
E,100,2.04,2.4282,0.129504
